Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,14,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,15,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,16,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,17,2,y,,3,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,18,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,19,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,20,3,y,,5,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,21,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,22,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,23,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,24,3,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,25,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,26,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,27,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,28,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,29,3,n,,2,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,30,2,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,31,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,32,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,33,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,34,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,35,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,36,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,37,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,38,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,39,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,40,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,41,3,n,,2,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,42,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,43,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,44,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,45,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,46,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,y,LUSUKI,47,2,y,,,,,,,,,,,,,,,,,,
