Site,trt unit,Side,Scarified,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,Vole,LD2011,LUOR2010,avleaves2010,LUOR2011,avleaves2011,MaxRecruit,New2011,Observed survival,Max survival,Obs.max diff
Ft. Hoskins,49,R,Yes,SBG,13.5,80.5,94,0,4,0,1.3,13,62,75,1,21,6.5,4.5,2.5,1.5,19,2.75,19,3.5,0.19,0,0.32,0.32,0
Ft. Hoskins,50,R,Yes,Control,17,71,88,3,2.5,0,2.6,71.5,21,92.5,3,60,0,0,2.5,6,21,3,21,7,0.21,0,0.14,0.14,0
Pigeon Butte,2,R,No,SBG,3.5,63.5,67,0,31,0,0,1.5,67.5,69,0,0.5,5.5,27,0,0.3,27,0,16,0,0.3,3,0.48,0.53,0.05
Pigeon Butte,3,L,No,SM,15,63,78,5.5,8.5,1.5,3,8,68.5,76.5,13,7.5,3,0,9,1.5,42,3.33,15,6.5,0.42,0,0.36,0.36,0
Pigeon Butte,5,R,No,Control,15.5,75,90.5,2,3,0,2.7,3,87,90,7.5,18,0,0,1,2.5,41,2.6,21,14,0.42,1,0.49,0.5,0.01
Pigeon Butte,6,R,No,MBG,1.5,67.5,69,0,7,18.5,0.5,1.5,59.5,61,2,0.5,8.5,11,6,0.6,11,1,7,0,0.13,2,0,0,0
Pigeon Butte,9,R,No,MM,44,51.5,95.5,1.5,6,0,1.9,42.5,37.5,80,6.5,65,0,0,5.5,3.5,27,2.33,9,2,0.27,0,0.33,0.33,0
Pigeon Butte,12,L,No,Control,,,0,,,,,11,82.5,93.5,21,8,2,2.5,0,1.1,21,2.6,8,3.7,0.22,1,0.33,0.36,0.03
Pigeon Butte,17,R,No,MBG,11,53.5,64.5,0,1,32.5,0.4,2,61,63,0,1.5,4,30,13.5,0.4,14,2.36,0,0,0.14,0,0,0,0
Pigeon Butte,18,R,No,SM,8.5,77.5,86,0,0,20.5,1.3,3.5,73.5,77,2,2,6,16.5,0,0.4,12,2.5,1,4,0.12,0,0.08,0.08,0
Pigeon Butte,24,L,No,MM,6.5,82,88.5,0,9.5,0,0.6,4,95,99,0,5,2.5,0,4.5,1.2,37,2.18,23,12,0.39,2,0.57,0.59,0.02
