site,trtUnit,side,scarified,grass,forbs,moss,bareGround,disturbance,voleDisturbance,litterCover,litterDepth,year
Ft. Hoskins,38,R,y,15,61.5,9.5,8.5,5,10.5,15,2.2,2011
Ft. Hoskins,39,R,n,19,66.5,4.5,4,1.5,0,40,2.6,2011
Ft. Hoskins,39,L,y,14,91,1.5,2,0,0,5,2,2011
Ft. Hoskins,40,L,n,22,70,0,6.5,0,2.5,22.5,3.7,2011
Ft. Hoskins,40,R,y,36.5,52.5,0,7,0,1.5,32.5,2.7,2011
Ft. Hoskins,42,R,n,76,16.5,13,4,1.5,3.5,60,4.7,2011
Ft. Hoskins,42,L,y,70,22.5,15,5,3.5,0,46.5,2.6,2011
Ft. Hoskins,43,L,n,51,40,1,0.5,0,0,45,3.4,2011
Ft. Hoskins,43,R,y,36.5,60,0,1.5,0,1.5,60,5.3,2011
Ft. Hoskins,44,L,n,15,42.5,46.5,2.5,1,2,26,2,2011
Ft. Hoskins,44,R,y,27,32,52.5,2.5,2,0,10,1.6,2011
Ft. Hoskins,49,L,n,35,54.5,0,2.5,4,4,62.5,4,2011
Ft. Hoskins,49,R,y,13,62,1,6.5,4.5,2.5,21,1.5,2011
Ft. Hoskins,50,L,n,47,40,0,14,5,4.5,27.5,3.1,2011
Ft. Hoskins,50,R,y,71.5,21,3,0,0,2.5,60,6,2011
Pigeon Butte,2,R,n,1.5,67.5,0,5.5,27,0,0.5,0.3,2011
Pigeon Butte,2,L,y,1.5,87.5,3,7.5,7.5,0,2.5,0.3,2011
Pigeon Butte,3,L,n,8,68.5,13,3,0,9,7.5,1.5,2011
Pigeon Butte,3,R,y,9.5,81,3.5,3,7.5,3.5,2.5,1.7,2011
Pigeon Butte,5,R,n,3,87,7.5,0,0,1,18,2.5,2011
Pigeon Butte,5,L,y,5.5,95,2,0,0,0,5.5,1.2,2011
Pigeon Butte,6,R,n,1.5,59.5,2,8.5,11,6,0.5,0.6,2011
Pigeon Butte,6,L,y,3.5,75.5,1.5,1,23,4.5,0.5,0.4,2011
Pigeon Butte,9,R,n,42.5,37.5,6.5,0,0,5.5,65,3.5,2011
Pigeon Butte,9,L,y,30,28.5,12,4,14,0,50,2.9,2011
Pigeon Butte,12,L,n,11,82.5,21,2,2.5,0,8,1.1,2011
