"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
91,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.30,0.00
92,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.10,0.00
93,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.00,0.00
94,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,1.00,0.00
95,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.60,0.00
96,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.10,0.00
97,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.70,0.00
98,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.40,0.00
99,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,0.80,0.00
100,"Hoskins","S","FH-6",6/21/2006 0:00:00,2006,"Joe Buttafuoco",6,0,0,1.60,0.00
101,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,0.10,0.00
102,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,0.70,0.00
103,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,0.60,0.00
104,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,2.50,0.00
105,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,7.00,0.00
106,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,2.20,0.00
107,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,0.30,0.00
108,"Hoskins","S","FH-16",6/21/2006 0:00:00,2006,"Joe Buttafuoco",16,0,0,2.70,0.00
