ModelNum    warm        cold    
    1251      1.2000      1.8000
    1253      1.4000      1.8000
    1255      1.6000      1.8000
    1257      1.8000      1.8000
    1259      2.0000      1.8000
    1261      2.2000      1.8000
    1263      2.4000      1.8000
    1265      2.6000      1.8000
    1267      2.8000      1.8000
    1269      3.0000      1.8000
    1271      3.2000      1.8000
    1273      1.0000      2.4000
    1275      0.2000      2.4000
    1277      0.4000      2.4000
    1279      0.6000      2.4000
    1281      0.8000      2.4000
    1283      1.0000      2.4000
    1285      1.2000      2.4000
    1287      1.4000      2.4000
    1289      1.6000      2.4000
    1291      1.8000      2.4000
    1293      2.0000      2.4000
    1295      2.2000      2.4000
    1297      2.4000      2.4000
    1299      2.6000      2.4000
    1301      2.8000      2.4000
    1303      3.0000      2.4000
    1305      3.2000      2.4000
    1307      1.0000      3.0000
    1309      0.2000      3.0000
    1311      0.4000      3.0000
    1313      0.6000      3.0000
    1315      0.8000      3.0000
    1317      1.0000      3.0000
    1319      1.2000      3.0000
    1321      1.4000      3.0000
    1323      1.6000      3.0000
    1325      1.8000      3.0000
    1327      2.0000      3.0000
    1329      2.2000      3.0000
    1331      2.4000      3.0000
    1333      2.6000      3.0000
    1335      2.8000      3.0000
    1337      3.0000      3.0000
    1339      3.2000      3.0000
    1341      1.0000      3.6000
    1343      0.2000      3.6000
    1345      0.4000      3.6000
    1347      0.6000      3.6000
    1349      0.8000      3.6000
    1351      1.0000      3.6000
    1353      1.2000      3.6000
    1355      1.4000      3.6000
    1357      1.6000      3.6000
    1359      1.8000      3.6000
    1361      2.0000      3.6000
    1363      2.2000      3.6000
    1365      2.4000      3.6000
    1367      2.6000      3.6000
    1369      2.8000      3.6000
    1371      3.0000      3.6000
    1373      3.2000      3.6000
    1375      1.0000      4.2000
    1377      0.2000      4.2000
    1379      0.4000      4.2000
    1381      0.6000      4.2000
    1383      0.8000      4.2000
    1385      1.0000      4.2000
    1387      1.2000      4.2000
    1389      1.4000      4.2000
    1391      1.6000      4.2000
    1393      1.8000      4.2000
    1395      2.0000      4.2000
    1397      2.2000      4.2000
    1399      2.4000      4.2000
    1401      2.6000      4.2000
    1403      2.8000      4.2000
    1405      3.0000      4.2000
    1407      3.2000      4.2000
    1409      1.0000      4.8000
    1411      0.2000      4.8000
    1413      0.4000      4.8000
    1415      0.6000      4.8000
    1417      0.8000      4.8000
    1419      1.0000      4.8000
    1421      1.2000      4.8000
    1423      1.4000      4.8000
