Site,trt unit,Side,Scarified,Grass,Forb,Moss,Litter,Bare,Disturbed,Vole,LD,luor2010,Leaves2010,luor2011,Leaves2011,sivi2010,sivi2011
Pigeon Butte,24,R,y,8.5,86,0,11.5,3,0.5,2,1.8,14,46,7,48,14,7
Pigeon Butte,26,R,y,31,65,0,57.5,1,0,,4.166666667,18,57,3,9,7,8
Pigeon Butte,27,R,y,5,68,0,9,5.5,22,5,1,1,2,1,2,6,6
Pigeon Butte,28,R,y,3,82,10,10,4,10,8,1.3,10,25,1,2,5,3
Pigeon Butte,32,L,y,20,66,13,35,1,11.5,7,1.8,28,103,11,51,23,19
Pigeon Butte,35,L,y,8.5,65,1.5,37.5,5,18,3.5,0.8,5,19,3,41,20,12
Pigeon Butte,39,R,y,14.5,87.5,5.5,14.5,3.5,0,3,1.6,30,100,22,73,9,11
Pigeon Butte,42,R,y,11.5,74,6.5,9.5,6,0,14,1.3,4,12,3,12,15,11
Pigeon Butte,43,L,y,4.5,76.5,0,3,7.5,15,8,1.1,30,117,13,65,20,11
Pigeon Butte,44,L,y,19,66,8,27.5,3.5,0,9.5,1.7,18,51,7,27,22,17
Pigeon Butte,45,L,y,1.5,69,1,1,9.5,22.5,6.5,0.4,4,11,3,10,5,2
Pigeon Butte,46,L,y,35.5,31,0,70,2.5,1,6,3.6,4,11,1,3,8,9
